frame,abstime,reltime,Cursor 1 [C],Cursor 2 [C],Cursor 3 [C]
14947,16:38.3,17.249,6.92E+01,3.39E+01,3.13E+01
14948,16:38.3,17.312,6.96E+01,3.38E+01,3.13E+01
14949,16:38.4,17.375,6.99E+01,3.38E+01,3.13E+01
14950,16:38.5,17.437,7.04E+01,3.38E+01,3.13E+01
14951,16:38.5,17.5,7.10E+01,3.38E+01,3.13E+01
14952,16:38.6,17.562,7.14E+01,3.38E+01,3.13E+01
14953,16:38.6,17.623,7.16E+01,3.38E+01,3.13E+01
14954,16:38.7,17.689,7.20E+01,3.38E+01,3.13E+01
14955,16:38.8,17.75,7.25E+01,3.38E+01,3.13E+01
14956,16:38.8,17.811,7.27E+01,3.37E+01,3.13E+01
14957,16:38.9,17.873,7.30E+01,3.37E+01,3.13E+01
14958,16:39.1,18.046,7.39E+01,3.38E+01,3.13E+01
14959,16:39.1,18.067,7.40E+01,3.38E+01,3.14E+01
14960,16:39.2,18.125,7.42E+01,3.38E+01,3.14E+01
14961,16:39.2,18.188,7.45E+01,3.38E+01,3.14E+01
14962,16:39.3,18.25,7.48E+01,3.38E+01,3.14E+01
14963,16:39.3,18.311,7.49E+01,3.38E+01,3.14E+01
14964,16:39.4,18.376,7.53E+01,3.38E+01,3.14E+01
14965,16:39.5,18.437,7.56E+01,3.38E+01,3.14E+01
14966,16:39.5,18.498,7.59E+01,3.38E+01,3.15E+01
14967,16:39.6,18.562,7.63E+01,3.39E+01,3.15E+01
14968,16:39.7,18.627,7.66E+01,3.39E+01,3.15E+01
14969,16:39.7,18.688,7.69E+01,3.39E+01,3.15E+01
14970,16:39.8,18.749,7.73E+01,3.39E+01,3.15E+01
14971,16:39.8,18.818,7.75E+01,3.39E+01,3.15E+01
14972,16:39.9,18.875,7.77E+01,3.39E+01,3.15E+01
14973,16:40.0,18.935,7.81E+01,3.39E+01,3.15E+01
14974,16:40.0,18.998,7.83E+01,3.39E+01,3.15E+01
14975,16:40.1,19.062,7.85E+01,3.39E+01,3.15E+01
14976,16:40.1,19.123,7.87E+01,3.39E+01,3.15E+01
14977,16:40.2,19.186,7.89E+01,3.39E+01,3.16E+01
14978,16:40.3,19.249,7.93E+01,3.39E+01,3.16E+01
14979,16:40.3,19.313,7.95E+01,3.39E+01,3.16E+01
14980,16:40.4,19.374,7.97E+01,3.39E+01,3.16E+01
14981,16:40.5,19.437,7.99E+01,3.39E+01,3.16E+01
14982,16:40.5,19.501,8.02E+01,3.39E+01,3.16E+01
14983,16:40.6,19.564,8.04E+01,3.39E+01,3.16E+01
14984,16:40.6,19.623,8.06E+01,3.39E+01,3.16E+01
14985,16:40.7,19.687,8.09E+01,3.39E+01,3.16E+01
14986,16:40.8,19.748,8.11E+01,3.39E+01,3.17E+01
14987,16:40.8,19.812,8.13E+01,3.40E+01,3.17E+01
14988,16:40.9,19.874,8.15E+01,3.40E+01,3.17E+01
14989,16:41.0,19.936,8.18E+01,3.40E+01,3.17E+01
14990,16:41.0,19.999,8.20E+01,3.40E+01,3.17E+01
14991,16:41.1,20.061,8.22E+01,3.40E+01,3.17E+01
